user_name,meal,restaurant,rating,order_date
Alessandro,Lasagna,Cucina Siciliana,3,2023-08-21
Alessandro,Cannoli,Osteria Firenze,3,2023-11-24
Francesca,Panna Cotta,Osteria Firenze,5,2023-02-24
Elena,Focaccia,Trattoria Milano,4,2023-05-01
Elena,Cannoli,Cucina Siciliana,4,2023-09-17
Martina,Risotto alla Milanese,Pizzeria Napoli,4,2023-09-03
Matteo,Risotto alla Milanese,Cucina Siciliana,1,2023-07-18
Francesca,Bruschetta,Pizzeria Napoli,2,2023-10-09
Giulia,Lasagna,Pizzeria Napoli,4,2023-07-12
Sara,Risotto alla Milanese,Ristorante Roma,4,2023-02-08
Francesca,Spaghetti Carbonara,Trattoria Milano,4,2023-06-18
Elena,Spaghetti Carbonara,Trattoria Milano,4,2023-08-14
Sara,Tiramisu,Cucina Siciliana,2,2023-05-24
Francesco,Bruschetta,Cucina Siciliana,5,2023-01-25
Alessandro,Bruschetta,Ristorante Roma,4,2023-08-24
Andrea,Risotto alla Milanese,Ristorante Roma,3,2023-03-01
Matteo,Cannoli,Trattoria Milano,1,2023-12-07
Davide,Panna Cotta,Pizzeria Napoli,2,2023-01-16
Matteo,Risotto alla Milanese,Pizzeria Napoli,3,2023-03-01
Marco,Tiramisu,Osteria Firenze,1,2023-05-26
Valentina,Gnocchi,Osteria Firenze,1,2023-10-10
Francesco,Risotto alla Milanese,Ristorante Roma,4,2023-04-05
Alessandro,Lasagna,Cucina Siciliana,3,2023-03-22
Giulia,Cannoli,Cucina Siciliana,1,2023-05-06
Elena,Lasagna,Osteria Firenze,2,2023-07-28
Alessandro,Pizza Margherita,Ristorante Roma,1,2023-11-25
Silvia,Bruschetta,Osteria Firenze,3,2023-09-05
Luca,Risotto alla Milanese,Trattoria Milano,4,2023-08-15
Davide,Lasagna,Ristorante Roma,1,2023-10-20
Elena,Gnocchi,Trattoria Milano,3,2023-01-05
Giorgio,Panna Cotta,Ristorante Roma,3,2023-01-02
Giulia,Focaccia,Cucina Siciliana,1,2023-01-19
Giulia,Tiramisu,Pizzeria Napoli,2,2023-06-23
Francesca,Gnocchi,Osteria Firenze,3,2023-01-06
Matteo,Lasagna,Trattoria Milano,3,2023-01-09
Chiara,Risotto alla Milanese,Pizzeria Napoli,4,2023-11-04
Lorenzo,Cannoli,Osteria Firenze,3,2023-04-07
Silvia,Bruschetta,Ristorante Roma,2,2023-08-01
Andrea,Bruschetta,Ristorante Roma,2,2023-07-10
Marco,Gnocchi,Pizzeria Napoli,2,2023-09-20
Giorgio,Spaghetti Carbonara,Ristorante Roma,4,2023-05-05
Davide,Bruschetta,Osteria Firenze,3,2023-03-20
Luca,Panna Cotta,Pizzeria Napoli,3,2023-01-08
Francesca,Focaccia,Pizzeria Napoli,3,2023-09-03
Federica,Spaghetti Carbonara,Trattoria Milano,3,2023-09-04
Luca,Lasagna,Ristorante Roma,5,2023-04-24
Sara,Gnocchi,Osteria Firenze,1,2023-01-16
Elena,Risotto alla Milanese,Cucina Siciliana,3,2023-06-08
Giulia,Tiramisu,Ristorante Roma,4,2023-01-05
Alice,Risotto alla Milanese,Pizzeria Napoli,3,2023-01-17
Elena,Tiramisu,Osteria Firenze,4,2023-09-05
Giorgio,Tiramisu,Osteria Firenze,4,2023-01-20
Luca,Risotto alla Milanese,Trattoria Milano,1,2023-10-22
Marco,Panna Cotta,Trattoria Milano,2,2023-11-10
Giulia,Cannoli,Ristorante Roma,1,2023-09-11
Alice,Gnocchi,Cucina Siciliana,2,2023-07-26
Marco,Spaghetti Carbonara,Ristorante Roma,5,2023-12-26
Alessandro,Bruschetta,Pizzeria Napoli,5,2023-04-01
Sara,Risotto alla Milanese,Pizzeria Napoli,2,2023-02-23
Lorenzo,Bruschetta,Trattoria Milano,5,2023-06-26
Giorgio,Lasagna,Trattoria Milano,3,2023-12-05
Luca,Panna Cotta,Cucina Siciliana,4,2023-12-12
Matteo,Gnocchi,Pizzeria Napoli,5,2023-04-15
Marco,Gnocchi,Pizzeria Napoli,5,2023-02-28
Martina,Risotto alla Milanese,Ristorante Roma,3,2023-12-26
Matteo,Cannoli,Cucina Siciliana,1,2023-12-21
Luca,Cannoli,Trattoria Milano,1,2023-02-22
Alice,Bruschetta,Cucina Siciliana,5,2023-01-16
Alessandro,Tiramisu,Cucina Siciliana,3,2023-12-26
Alice,Risotto alla Milanese,Cucina Siciliana,1,2023-12-05
Simone,Pizza Margherita,Pizzeria Napoli,5,2023-12-16
Alice,Tiramisu,Pizzeria Napoli,1,2023-05-23
Martina,Focaccia,Cucina Siciliana,4,2023-02-20
Martina,Cannoli,Osteria Firenze,2,2023-01-24
Matteo,Lasagna,Trattoria Milano,1,2023-12-27
Silvia,Panna Cotta,Pizzeria Napoli,2,2023-03-28
Luca,Pizza Margherita,Cucina Siciliana,3,2023-11-05
Elena,Risotto alla Milanese,Ristorante Roma,1,2023-08-10
Andrea,Spaghetti Carbonara,Cucina Siciliana,3,2023-02-03
Giorgio,Cannoli,Cucina Siciliana,2,2023-10-26
Giulia,Risotto alla Milanese,Ristorante Roma,4,2023-10-21
Federica,Panna Cotta,Pizzeria Napoli,1,2023-05-25
Francesca,Cannoli,Cucina Siciliana,1,2023-08-03
Giorgio,Risotto alla Milanese,Pizzeria Napoli,2,2023-01-07
Matteo,Pizza Margherita,Cucina Siciliana,1,2023-03-09
Giorgio,Pizza Margherita,Pizzeria Napoli,1,2023-06-13
Lorenzo,Pizza Margherita,Pizzeria Napoli,4,2023-09-19
Elena,Bruschetta,Pizzeria Napoli,4,2023-03-26
Simone,Tiramisu,Cucina Siciliana,3,2023-12-25
Silvia,Tiramisu,Pizzeria Napoli,5,2023-07-16
Alessandro,Tiramisu,Trattoria Milano,2,2023-07-14
Matteo,Risotto alla Milanese,Cucina Siciliana,3,2023-11-18
Simone,Bruschetta,Trattoria Milano,2,2023-12-17
Chiara,Gnocchi,Cucina Siciliana,2,2023-09-18
Giulia,Tiramisu,Cucina Siciliana,5,2023-06-19
Sara,Pizza Margherita,Pizzeria Napoli,1,2023-07-25
Francesco,Lasagna,Pizzeria Napoli,4,2023-03-12
Alessandro,Cannoli,Trattoria Milano,3,2023-07-03
Francesco,Spaghetti Carbonara,Pizzeria Napoli,2,2023-04-28
Sara,Bruschetta,Ristorante Roma,3,2023-12-25
Giorgio,Bruschetta,Ristorante Roma,5,2023-06-26
Elena,Tiramisu,Cucina Siciliana,3,2023-12-05
Francesca,Risotto alla Milanese,Osteria Firenze,4,2023-09-18
Simone,Bruschetta,Ristorante Roma,1,2023-05-22
Marco,Gnocchi,Ristorante Roma,3,2023-12-10
Alice,Panna Cotta,Pizzeria Napoli,4,2023-05-08
Francesca,Cannoli,Trattoria Milano,4,2023-02-28
Matteo,Bruschetta,Pizzeria Napoli,3,2023-06-17
Davide,Pizza Margherita,Cucina Siciliana,4,2023-12-16
Francesco,Risotto alla Milanese,Cucina Siciliana,2,2023-03-05
Simone,Bruschetta,Trattoria Milano,2,2023-08-18
Francesco,Tiramisu,Ristorante Roma,1,2023-02-15
Giorgio,Tiramisu,Trattoria Milano,1,2023-06-27
Giorgio,Pizza Margherita,Trattoria Milano,1,2023-03-01
Alice,Gnocchi,Pizzeria Napoli,1,2023-05-05
Chiara,Risotto alla Milanese,Cucina Siciliana,5,2023-05-05
Martina,Cannoli,Osteria Firenze,1,2023-05-14
Davide,Pizza Margherita,Osteria Firenze,5,2023-04-01
Giorgio,Panna Cotta,Trattoria Milano,4,2023-08-07
Giulia,Focaccia,Osteria Firenze,3,2023-02-12
Luca,Focaccia,Pizzeria Napoli,5,2023-11-25
Giorgio,Gnocchi,Cucina Siciliana,5,2023-02-11
Lorenzo,Gnocchi,Pizzeria Napoli,2,2023-06-18
Giulia,Spaghetti Carbonara,Osteria Firenze,3,2023-02-20
Chiara,Pizza Margherita,Pizzeria Napoli,2,2023-03-17
Matteo,Lasagna,Trattoria Milano,1,2023-10-17
Silvia,Panna Cotta,Cucina Siciliana,2,2023-06-21
Giulia,Risotto alla Milanese,Ristorante Roma,3,2023-06-16
Sara,Lasagna,Pizzeria Napoli,1,2023-03-03
Federica,Cannoli,Osteria Firenze,3,2023-05-05
Federica,Cannoli,Cucina Siciliana,5,2023-06-01
Matteo,Bruschetta,Pizzeria Napoli,2,2023-02-17
Valentina,Cannoli,Cucina Siciliana,3,2023-09-26
Simone,Bruschetta,Osteria Firenze,5,2023-01-26
Francesca,Pizza Margherita,Ristorante Roma,3,2023-04-15
Simone,Panna Cotta,Trattoria Milano,4,2023-07-14
Giulia,Cannoli,Osteria Firenze,3,2023-07-03
Simone,Gnocchi,Osteria Firenze,4,2023-02-26
Chiara,Risotto alla Milanese,Osteria Firenze,1,2023-07-05
Martina,Gnocchi,Ristorante Roma,1,2023-07-22
Elena,Bruschetta,Ristorante Roma,5,2023-04-25
Francesca,Cannoli,Osteria Firenze,1,2023-02-15
Francesca,Focaccia,Trattoria Milano,1,2023-12-19
Martina,Bruschetta,Cucina Siciliana,4,2023-10-02
Francesco,Focaccia,Cucina Siciliana,1,2023-01-21
Chiara,Focaccia,Pizzeria Napoli,3,2023-08-23
Davide,Gnocchi,Osteria Firenze,3,2023-08-05
Francesca,Panna Cotta,Trattoria Milano,4,2023-12-11
Francesca,Focaccia,Ristorante Roma,3,2023-09-02
Simone,Panna Cotta,Trattoria Milano,3,2023-12-05
Chiara,Cannoli,Pizzeria Napoli,3,2023-04-01
Silvia,Pizza Margherita,Pizzeria Napoli,1,2023-10-14
Chiara,Tiramisu,Osteria Firenze,4,2023-11-03
Luca,Focaccia,Trattoria Milano,2,2023-05-23
Martina,Spaghetti Carbonara,Cucina Siciliana,2,2023-04-01
Matteo,Bruschetta,Ristorante Roma,1,2023-11-15
Chiara,Gnocchi,Osteria Firenze,1,2023-05-28
Elena,Spaghetti Carbonara,Cucina Siciliana,3,2023-09-02
Elena,Risotto alla Milanese,Osteria Firenze,1,2023-08-22
Sara,Bruschetta,Cucina Siciliana,4,2023-03-21
Matteo,Tiramisu,Osteria Firenze,3,2023-10-04
Francesco,Cannoli,Ristorante Roma,2,2023-08-08
Alessandro,Panna Cotta,Osteria Firenze,5,2023-06-01
Simone,Pizza Margherita,Ristorante Roma,1,2023-01-15
Giulia,Tiramisu,Osteria Firenze,3,2023-06-06
Marco,Gnocchi,Osteria Firenze,2,2023-04-15
Simone,Pizza Margherita,Pizzeria Napoli,3,2023-04-06
Luca,Tiramisu,Osteria Firenze,1,2023-04-22
Giulia,Cannoli,Cucina Siciliana,3,2023-10-01
Chiara,Lasagna,Cucina Siciliana,4,2023-08-15
Sara,Tiramisu,Cucina Siciliana,4,2023-12-13
Giulia,Risotto alla Milanese,Osteria Firenze,4,2023-04-26
Andrea,Tiramisu,Pizzeria Napoli,3,2023-10-08
Chiara,Focaccia,Trattoria Milano,3,2023-12-26
Francesco,Panna Cotta,Trattoria Milano,1,2023-01-15
Sara,Lasagna,Pizzeria Napoli,5,2023-08-05
Sara,Cannoli,Ristorante Roma,4,2023-10-09
Lorenzo,Panna Cotta,Ristorante Roma,3,2023-07-01
Valentina,Tiramisu,Cucina Siciliana,2,2023-04-22
Luca,Focaccia,Osteria Firenze,5,2023-09-21
Davide,Cannoli,Pizzeria Napoli,1,2023-05-26
Davide,Risotto alla Milanese,Pizzeria Napoli,1,2023-10-11
Chiara,Spaghetti Carbonara,Trattoria Milano,3,2023-02-27
Giorgio,Risotto alla Milanese,Ristorante Roma,4,2023-06-21
Luca,Pizza Margherita,Cucina Siciliana,3,2023-06-26
Federica,Tiramisu,Ristorante Roma,1,2023-04-09
Giorgio,Lasagna,Pizzeria Napoli,5,2023-08-17
Alessandro,Pizza Margherita,Cucina Siciliana,3,2023-11-24
Lorenzo,Pizza Margherita,Cucina Siciliana,5,2023-08-19
Federica,Pizza Margherita,Osteria Firenze,2,2023-02-22
Giorgio,Spaghetti Carbonara,Osteria Firenze,4,2023-01-08
Alessandro,Risotto alla Milanese,Trattoria Milano,2,2023-03-14
Giulia,Pizza Margherita,Pizzeria Napoli,2,2023-07-08
Luca,Bruschetta,Osteria Firenze,3,2023-08-22
Simone,Tiramisu,Osteria Firenze,3,2023-01-28
Simone,Panna Cotta,Trattoria Milano,3,2023-08-14
Valentina,Lasagna,Pizzeria Napoli,5,2023-06-21
Valentina,Gnocchi,Trattoria Milano,2,2023-07-01
